Name,Institution,lat,long
Vincent Baptist ,Delft University of Technology,52.00234379,4.373598055
Stuart Dunn ,King’s College London,51.51213246,-0.115974234
Wendy Perla Kurtz ,University of California,34.21960089,-118.4380796
Pedro Nilsson-Fernàndez ,University College Cork,51.8936515,-8.492070503
Katherine McDonough ,Lancaster University and Alan Turing institute,54.01053575,-2.786457432
Joana Vieira Paulino ,Universidade NOVA de Lisboa,38.73569796,-9.160102904
Benjamin Vis ,Université Libre de Bruxelles and Universidad Autonoma de Yucatan,50.81341014,4.382168553
Mauri Finol, Universidad de Venezuela,10.644299185884366, -71.6343886630071
,,,
,,,
,,,
,,,

